filename	transcription
common_voice_ca_31378986.wav	per altra banda la seva seqüència numèrica no es titula a l'ordre de composició
common_voice_ca_31340819.wav	el meu pare es diuen aviat esta a bé
upc_ca_pau_101059.wav	no sé si és manca de coratge manca de personalitat o que veuen una manca de coratge i manca de personalitat als agents que han de confondre aquest triangle trinitari que tinc fer-hi que vostè encara no ha resolt
common_voice_ca_31169713.wav	un cop dalt els amics dia és un arquitecte contemporània de cadascú
common_voice_ca_30791849.wav	un home seu paraigua una vorera
common_voice_ca_31083166.wav	camp una crisi més gran va salvar de
common_voice_ca_31792858.wav	el gran dia mirant al sud
upc_ca_pau_101070.wav	per tant votarem favorablement aquesta proposició no de llei a més tenen un component pedagògic que realment d'agrair
common_voice_ca_31148020.wav	fins i tot en una disputa d'un contra un altre era possible
upc_ca_pau_101022.wav	teresa sí perquè tenien els guanyadors més el trapezi vuitanta-set cadena amb el dreta
common_voice_ca_31480904.wav	un mateix i so
upc_ca_ona_100029.wav	aquesta llei contemplarà la situació de les mil i una humil persones que arriben pensions no contributives de jubilació o les trenta un amic persones que reben pensions no contributives d'invalidesa
common_voice_ca_30957869.wav	insistir en el mapa mut havia convertit en un ofici
upc_ca_ona_100072.wav	i és un refugi biològic el riu tort curiosament i és un refugi biològic des de fa molts anys potser portem d'any o visitant com a refugi biològic
common_voice_ca_31063184.wav	en els textos el cap d'estat i de vegades amplis poders
common_voice_ca_31361137.wav	era la darrera assegurar al darrere
common_voice_ca_31147959.wav	dos nostra
common_voice_ca_20170672.wav	el món
common_voice_ca_31486252.wav	aquí
upc_ca_pau_101026.wav	d'altres ho farem al revés de com ho volen pretendre votar ho fes incrementant el cànon per tant accentuant la no competitivitat per tant invitant a la deslocalització
common_voice_ca_31295592.wav	com va anar global
upc_ca_pau_101092.wav	per tant una part de l iphone gavarres com vivim pensem que caldria reciclar-lo fins a palamós
upc_ca_pau_101086.wav	debat i votació del grup parlamentari dividia tira per catalunya-verds juntament amb un altre diputat del grup
common_voice_ca_31365503.wav	hi ha algun malaltia tarrida coreà que mare de déu
upc_ca_pau_101057.wav	i david i passar per damunt navegant no és un element transformador tal com està redactat ara perquè no vàlvules
common_voice_ca_31464803.wav	la font el sisè quaranta-un anys seixanta
upc_ca_pau_101025.wav	gireu al projecte és un mal projecte la idea de la línia doble
common_voice_ca_31798277.wav	dimarts en viu meus mirant a carcaixent
upc_ca_ona_100002.wav	molt breument li volem agrair doncs les seves exposicions tant la d'ahir com avui en les seves respostes en nom del nostre grup parlamentari
common_voice_ca_31363197.wav	gairebé dos terços d'elles es troba en els estats que una vegada abans
upc_ca_pau_101083.wav	se'n recorda sandor li diuen que vagi a la policia i ell diu que no sap on és i que no se'n recorda
common_voice_ca_31417564.wav	jo
upc_ca_pau_101003.wav	volem desitjar-li aquí berguedà jornades doncs organitza la setmana entrant la federació iberoamericana de voluntaris aquí a barcelona i també gaudir de la seva presidència europea també de voluntaris
common_voice_ca_31121147.wav	vull anar sant joan de les cerveses amb tren
upc_ca_ona_100048.wav	el mes de juny de l'any dos mil el secretari general de l'esport va trametre a la secretaria general del departament un nou avantprojecte sobre funcions organització i funcionament del consell
upc_ca_pau_101068.wav	i llavors el rector així diu s'ha de dir això perquè no passi això
upc_ca_ona_100015.wav	tot i que també de dir que som coneixedors de l'àmbit de l'espai que té aquest centre d'assistència primària de palafrugell i probablement en podríem dir que no hi que
common_voice_ca_30886881.wav	cinquanta-vuit santpedor professors
upc_ca_ona_100105.wav	fa tres anys no tenia les dues bessones les dues bessones de zidane han arribat ara no nàixer l'any que ve hi haurà tres més
common_voice_ca_31337800.wav	risc a bullir llavors aixecar per tractar-se amb el primer ministre ara blues
common_voice_ca_20325543.wav	el cap de dos anys estava donant cat dama de
upc_ca_pau_101013.wav	això no vol dir que la xarxa no sé flexible flexible per als diferents menor teià normes flexible entre els autòctons i el cabell del sol i que també entre els autòctons i hauria de l activitat
upc_ca_pau_101032.wav	això sí que ho reconeix i treballem perquè no hi havia productes
upc_ca_pau_101028.wav	de conformitat amb la disposició final primera i el que estableix l'article cent onze punts del reglament del parlament de catalunya l'aprovació de la proposta de reforma del reglament del parlament requereix l'aprovació en votació final per la majoria absoluta
common_voice_ca_30759190.wav	alhora el diari va publicar exterior
common_voice_ca_31434398.wav	actualment es troben una altra
common_voice_ca_30778960.wav	
upc_ca_ona_100038.wav	i ves per on aquest debat polític i acadèmic i academicista del federalisme ha trobat un millor acomodament en aquesta invasió i la interferència de les noves tecnologies concretant pedaços de federalisme
upc_ca_ona_100045.wav	a la resta del territori
common_voice_ca_31246492.wav	nul·la
common_voice_ca_31295233.wav	d'ençà dades és un diàleg i perjudicis de cinquè hem nascut a vilanova
common_voice_ca_31320906.wav	era propietari de l'anc moment me fa al carrer pompeu fabra de cultura
common_voice_ca_31107626.wav	he d'anar al carrer del rec comtal entre
common_voice_ca_31239888.wav	també i cançons música de piano coral orquestral i per al cim
upc_ca_pau_101010.wav	per tant no puc
common_voice_ca_31376532.wav	va dirigir cap a la costa oest
common_voice_ca_31811566.wav	el nou d'octubre en na carla aniran a punt
upc_ca_ona_100078.wav	llavors vostè envia això de molts micro té ànima semblat que abonada una tesi semblant el cas dels aparells de refrigeració home no és aquesta són tall
upc_ca_ona_100055.wav	evolució és el que es proposen les confraries de cop això ja ho sé que és el que els proposen les confraries
common_voice_ca_31373745.wav	durant la seva carrera ajudar a l'arsenal i clubs i el cul sigui
common_voice_ca_30816585.wav	us adoneu dediquen són propostes records musicals dones així les coses més fotos
common_voice_ca_31296815.wav	l'organitzarà l'obra de teatre
common_voice_ca_31302775.wav	p
common_voice_ca_31414645.wav	pedagog i escriptor nascut a barcelona
upc_ca_pau_101044.wav	no hi ha cap més esport arreu del món però jo parlo per catalunya que paga per a practicar-la
common_voice_ca_31696838.wav	el déu d'agost necessita i dades
common_voice_ca_31811117.wav	m'ha passat a que havia jordi aniran a blanes
upc_ca_pau_101090.wav	el cafè i que hi estat anar-hi bastant reconstruir-lo perquè no fos tan dolent com el principi
upc_ca_ona_100077.wav	b oci van demanava de xipre aquestes xifres les hi donaré perquè les hem de revisar
upc_ca_ona_100071.wav	b la necessitat d'una escola de primària a vallgorguina consell vallgorguina està claríssim
common_voice_ca_31345769.wav	aquí com la setmana m'agradaria
common_voice_ca_31326681.wav	el cor de pare resant cuixes de suma
upc_ca_ona_100034.wav	és que era una llista era un inventari
upc_ca_pau_101046.wav	però més greu amb relació a la tarda intensitat a mà de vehicles és que d'aquest vehicle concretament tres mil quaranta-dos de time que faran vehicle farà
upc_ca_ona_100069.wav	en l'europa del futur però l'europa del futur vol dir l'europa de demà mateix a l'europa del futur només sobreviuran aquelles nacions que tinguin una projecció cultural sòlida sòlida en el context universal i individualitzada en aquest context
upc_ca_ona_100106.wav	i el mateix consell d'administració va ser qui ens va requerir que els ploressin les guies del contracte de prestació de servei
common_voice_ca_31345505.wav	per l'assentament de valent
common_voice_ca_31503560.wav	estudià a càller on es graduà en dret civil i canònic
common_voice_ca_31075454.wav	
upc_ca_ona_100062.wav	el nomenament del nou director farà en aquest sentit fonamental i desitgem que no respongui a criteris anteriors sinó que respongui als criteris que vostè ha explicat
upc_ca_ona_100008.wav	és a dir la primera és anem a l emergència govern mitjans vins de l'emergència treballem de l'emergència
upc_ca_pau_101051.wav	raula suposo que per la petició que li ha fet l'il·lustre diputat xavier soy
common_voice_ca_31173900.wav	mireia agonia ribera és una professora i purifiquen espera
upc_ca_ona_100025.wav	era un mal projecte és un mal projecte la idea de la línia xii
common_voice_ca_31167999.wav	roig i padró ser un metge i polític nascut arrel
upc_ca_pau_101078.wav	home no és aquestes són tan
common_voice_ca_31390571.wav	quina és la millor manera d'arribar a la plaça de lleida cambiarás
upc_ca_pau_101106.wav	i el mateix consell d'administració va ser qui ens va requerir que floreixin la filla del contracte de prestació de serveis
upc_ca_pau_101075.wav	ofendre parlat a l'esforç inversor de l'institut català de finances i del tapís del pressupost de la generalitat
common_voice_ca_17852479.wav	
common_voice_ca_27232411.wav	es van posar el nom de restituir per una de les pensionistes
upc_ca_ona_100087.wav	finalment plantegem que mentre no es faci aquest nou pla director amb aquests criteris que nosaltres plantegem doncs no hi hagi més nous camps de golf en el territori català
common_voice_ca_31376805.wav	albert centrals i han apuntat i els laterals
common_voice_ca_31074124.wav	viu van dona que la cultura de subsistència
upc_ca_pau_101061.wav	i premi que qualsevol iniciativa que vagin premiada viu llei català a un sistema de mesurament per a les emissores catalanes
upc_ca_pau_101049.wav	aquest projecte d'alguna manera intentava donar resposta al que el rei per tant anteriorment separar de pluja tot el que era govern del que són estructura i funcionament
common_voice_ca_31089515.wav	el seu pare
common_voice_ca_31149064.wav	en són exemples el llim
upc_ca_ona_100107.wav	evidentment millorant evidentment dotant evidentment dotant-les en termes tecnològic i mar
common_voice_ca_30746873.wav	a la novel·la ha publicat i l'escola molt maco el doctor fixes
common_voice_ca_31135093.wav	com a debutant gana i es va comprometre desenvolupar un estil de joc
common_voice_ca_31078509.wav	banc i vida
upc_ca_pau_101037.wav	dir que no es pot tocar però jo crec que de mica en mica ho anirem poder
upc_ca_ona_100100.wav	el xxi vuitè és una iniciativa una proposició no de llei sobre la necessitat de dotar el municipi de teià a la comarca del maresme d'un institut d'ensenyament secundari és una iniciativa impulsada per tots els grups parlamentar
