filename	transcription
common_voice_ca_31378986.wav	per altra banda el seva seqüència numèrica no és fidel a l'ordre de composició
common_voice_ca_31340819.wav	el meu pare es lliuraran fabián f a b i a n
upc_ca_pau_101129.wav	aquí hauríem de funcionar amb uns objectius comuns i aquests objectius comuns no existeix res que ni els pensi ni els elabori ni ajunti
upc_ca_pau_101059.wav	no sé si és manca de coratge manca de personalitat o que veuen una manca de coratge i manca de personalitat els agents camp de compondre aquest triangle trinitari que té un misteri que vostè encara no ens ha resolt
common_voice_ca_31169713.wav	guim costa i calsamiglia és un arquitecte contemporani nascut a barcelona
common_voice_ca_30791849.wav	un home sosté un paraigua era una vorera molt transitada
common_voice_ca_31083166.wav	va editar una crisi més gran i va salvar el mercat
common_voice_ca_31792858.wav	a vint-i-tres de maig negarà na mireia iran al cine
upc_ca_pau_101070.wav	per tant votarem favorablement aquesta proposició no de llei a més tenen un component pedagògic que realment és d'agrair
common_voice_ca_31148020.wav	fins i tot en una disputa d'un contra un altre era possible barra
upc_ca_pau_101022.wav	en tot cas ells tindran a partir d'ara un vuitanta-set per cent de les accions i a nosaltres només ens en quedarà un xiii un teresa sí perquè tenien als cinquanta-dos més el trenta-cinc vuitanta-set quedem amb el xiii
common_voice_ca_31480904.wav	els actors eren set crim josh cuc xe imma rei i tot crim neil
upc_ca_ona_100029.wav	aquesta llei contemplarà la situació de les vint-i-nou mil persones que reben pensions no contributives de jubilació o les trenta una mil persones que reben pensions no contributives d'invalidesa
common_voice_ca_30957869.wav	els que fem i sospita que la mà l'amor s'havia convertit en una justiciera
upc_ca_ona_100072.wav	i és un refugi biològic al riu tort curiosament i és un refugi biològic des de fa molts anys potser portem quinze anys o divuit anys com a refugi biològic
common_voice_ca_31063184.wav	en els textos el cap d'estat té de vegades amplis poders
common_voice_ca_31361137.wav	he d'anar del carrer del segura al carrer del mar
common_voice_ca_31147959.wav	dos no es barallen si un no vol
common_voice_ca_20170672.wav	costa dues de planta amb molt poca alçada i un pis
common_voice_ca_31486252.wav	la cinta és muda i està influenciada pel cineasta mar clara
upc_ca_pau_101026.wav	nosaltres ho farem al revés de com ho volen pretendre vostès vostès incrementar en el cànon per tant accentuant la no competitivitat per tant invitant a la deslocalització
common_voice_ca_31295592.wav	com va anar l'operació
upc_ca_pau_101092.wav	per tant doncs una part de l'eix de les gavarres com a mínim pensem que caldria desdoblar-la o fins a palamós
upc_ca_pau_101086.wav	debat i votació del grup parlamentari d'iniciativa per catalunya-verds juntament amb un altre diputat del grup
common_voice_ca_31365503.wav	hi ha algun negoci al carrer baró d esponellà cantonada baró d esponellà
upc_ca_pau_101057.wav	és a dir és passar per damunt navegant no és un element transformador tal com està redactat ara perquè no va al fons
common_voice_ca_31464803.wav	telefonar al sisè o quaranta-u noranta-nou seixanta-nou
upc_ca_pau_101025.wav	era un mal projecte és un mal projecte la idea de la línia xii
common_voice_ca_31798277.wav	dimarts en guiu i na neus iran a carcaixent
upc_ca_ona_100002.wav	molt breument li volem agrair doncs les seves exposicions tant la d'ahir com avui a les seves respostes en nom del nostre grup parlamentari
common_voice_ca_31363197.wav	gairebé dos terços d'elles es troben en els estats que alguna vegada van ser confederats
upc_ca_pau_101083.wav	i ell només se'n recorda del nom i li diuen que vagi a la policia i ell diu que no sap on és i què no se'n recorda
common_voice_ca_31417564.wav	el meu pare es diu bosco verge v es herència a
upc_ca_pau_101003.wav	volem desitjar-li èxits per aquestes jornades doncs que organitza la setmana entrant la federació iberoamericana de voluntaris aquí a barcelona i també exitosa la seva presidència europea també de voluntaris
common_voice_ca_31121147.wav	vull anar a sant joan de les abadesses amb trenc
upc_ca_ona_100048.wav	el mes de juny de l'any dos mil el secretari general de l'esport va trametre a la secretaria general del departament un nou avantprojecte sobre funcions organització i funcionament del consell
upc_ca_pau_101068.wav	i llavors el rector així diu s'ha de dir això perquè no passi això
upc_ca_ona_100015.wav	tot i que també de dir que són coneixedors de l'àmbit de l'espai que té aquest centre d'assistència primària de palafrugell i probablement en podríem dir que no hi cap
common_voice_ca_30886881.wav	afegeix a la gent del número de la fàtima alta mirall sis cinquanta-vuit seixanta-dos deu cinquanta-sis
upc_ca_ona_100105.wav	fa tres anys no tenia les dues bessones les dues bessones de sis anys han arribat ara no no és cert l'any que ve hi haurà xiii nens
common_voice_ca_31337800.wav	reis va fugir llavors ratxa cas per entrevistar-se amb el primer ministre aro wilson
common_voice_ca_20325543.wav	el cap de dos anys estava donant calaix de la mateixa institució
upc_ca_pau_101013.wav	això no vol dir que la xarxa no ha de ser flexible flexible per als diferents menors que ja no només flexible entre els autòctons i els que vénen sols és que també entre els autòctons i hauria d'haver flexibilitat
upc_ca_pau_101032.wav	això sí que em reconeix qui treballem perquè no hi havia producte
upc_ca_pau_101028.wav	de conformitat amb la disposició final primera i el que estableix l'article cent onze puno del reglament del parlament de catalunya l'aprovació de la proposta de reforma del reglament del parlament requereix l'aprovació en votació final per la majoria absoluta
common_voice_ca_30759190.wav	alhora més i més diari romanesos van publicar història sobre això
common_voice_ca_31434398.wav	actualment es troben en actiu del pla en david lópez
common_voice_ca_30778960.wav	malauradament no parlem de la meua prudència
upc_ca_ona_100038.wav	i ves per on aquest debat polític i acadèmic i academicista del federalisme ha trobat un millor acomodament en aquesta invasió i la interferència de les noves tecnologies concretar un pedaços de federalisme
upc_ca_ona_100045.wav	a la resta del territori
common_voice_ca_31246492.wav	menja estrelles de mar crustacis cucs mol·luscs i peixets
common_voice_ca_31295233.wav	francesc murgades i verdi és un biòleg i periodista especialitzat en gastronomia nascut a vilanova i la geltrú
common_voice_ca_31320906.wav	era propietari de l'àngel in mans filippo aus que regentava fora de temporada
common_voice_ca_31107626.wav	he d'anar al carrer del rec comptant amb tren
common_voice_ca_31239888.wav	també escrigué cançons música per a piano coral orquestral i per al cinema
upc_ca_pau_101010.wav	per tant no puc
common_voice_ca_31376532.wav	després d'una escala de dos dies a hawaii el demà es va dirigir cap a la costa oest
common_voice_ca_31811566.wav	el nou d'octubre en marc i na carla aniran a pontils
upc_ca_ona_100078.wav	llavors vostè en dia això de molts microtalls a mi m ha semblat que amb una veu una tesi semblant al cas dels aparells de refrigeració home no és aquesta són talls
upc_ca_ona_100055.wav	quedo lucinat és el que ens proposen les confraries de cor això ja ho sé que és el que els proposen les confraries
common_voice_ca_31373745.wav	durant la seva carrera va jugar a l'arsenal el ni dels bru i alcohol city
common_voice_ca_30816585.wav	els homes adoni fan es van apropar els terraplens mexicans de més al sud controlats per les millors tropes de heredia
common_voice_ca_31296815.wav	qui organitza l'obra de teatre dels nens
common_voice_ca_31302775.wav	el meu pare es diu martí pita p i té a
common_voice_ca_31414645.wav	pere darder i vidal és un pedagog i escriptor nascut a barcelona
upc_ca_pau_101044.wav	no hi ha cap més esport arreu del món però jo parlo per catalunya que paga per anar a practicar l'esport
common_voice_ca_31696838.wav	el déu d'agost la sira ira d'excursió
common_voice_ca_31811117.wav	m'ha passat en què havien jordi aniran a blanes
upc_ca_pau_101090.wav	el que sí que hem fet ha estat anar intentant reconduir-lo perquè no fos tan dolent com el principi
upc_ca_ona_100077.wav	b o sigui m'han demanava les xifres aquestes xifres les hi donaré perquè les hem de revisar
upc_ca_ona_100071.wav	b la necessitat d'una escola de primària a vallgorguina un ceip a vallgorguina està claríssim
common_voice_ca_31345769.wav	aquest cap de setmana m'agradaria anar foios
common_voice_ca_31326681.wav	el cor de pare per als angoixes de sobre
upc_ca_ona_100034.wav	és que era una llista era un inventari
upc_ca_pau_101046.wav	però el més greu amb relació a les dades d'intensitat de pas de vehicles és que d'aquests vehicles concretament tres mil sis-cents quaranta-dos s'estima que seran vehicles pesants
upc_ca_ona_100069.wav	en l'europa del futur però l'europa del futur vol dir l'europa de demà mateix a l'europa del futur només i sobreviuran aquelles nacions que tinguin una projecció cultural sòlida sòlida en el context universal i individualitzada en aquest context
upc_ca_ona_100106.wav	i el mateix consell d'administració va ser qui ens va requerir que explorer cim les vies del contracte de prestació de servei
common_voice_ca_31345505.wav	per ells l'assentament primer va prendre nom d'alevins tronc
common_voice_ca_31503560.wav	estudià a càller on es graduà en dret civil i canònic
upc_ca_ona_100062.wav	el nomenament del nou director serà en aquest sentit fonamental i desitgem que no respongui als criteris anteriors sinó que respongui als criteris que vostè ha explicat
upc_ca_ona_100008.wav	és a dir la primera és anem a l'emergència moguem mitjans dins de l'emergència treballem dins de l'emergència
upc_ca_pau_101051.wav	raula suposo que per la petició calia fet l'il·lustre diputats senyor xavier soy
common_voice_ca_31173900.wav	mireia bon i auri veres és una professora i política nascuda pals
upc_ca_ona_100025.wav	era un mal projecte és un mal projecte la idea de la línia xii
common_voice_ca_31167999.wav	jaume roig i padró va ser un metge i polític nascut a reus
upc_ca_pau_101078.wav	home no és aquesta són talls
common_voice_ca_31390571.wav	quina és la millor manera d'arribar a la plaça de pi aire de mandy algues
upc_ca_pau_101106.wav	i el mateix consell d'administració va ser qui ens va requerir que explorer cim les vies del contracte de prestació de serveis
upc_ca_pau_101075.wav	vostè ens ha parlat de l'esforç inversor de l'institut català de finances i del paper del pressupost de la generalitat
common_voice_ca_17852479.wav	no puc venir perquè d acompanyar la meva mare al metge
common_voice_ca_27232411.wav	es van posar el nom de rasputin per una de les cançons de queda
upc_ca_ona_100087.wav	finalment plantegem que mentre no es faci aquest nou pla director amb aquests criteris que nosaltres plantegem doncs no hi hagi més nous camps de golf en el territori català
common_voice_ca_31376805.wav	els verds centrals són apuntats i els laterals rodons
common_voice_ca_31074124.wav	viu van dur agricultura de subsistència
upc_ca_pau_101061.wav	i precisament per aquest motiu no es podrà implantar sempre hem dit que qualsevol iniciativa que vagi encaminada a fer onejar m català o un sistema de mesurament per a les emissores catalanes
upc_ca_pau_101049.wav	aquest projecte d'alguna manera intentava donar resposta al que els ha expressat anteriorment separar desglossa tot el que era govern del que són estructura i funcionament
common_voice_ca_31089515.wav	va anar a la cova amb lenta la filla menor del seu pare adoptiu
common_voice_ca_31149064.wav	en són exemples el llim o l'argila
upc_ca_ona_100107.wav	evidentment millorant les evidentment dotant-les evidentment dotant-les en termes tecnològics i mar
common_voice_ca_30746873.wav	al·lel williams ha publicat un llibre titulat moldre mar màgics handbook foti camps
common_voice_ca_31135093.wav	com a debutant gana i es va comprometre desenvolupar un estil de joc defensiu
common_voice_ca_31078509.wav	també al museu de ciències adreçat als infants i diverses esglésies
upc_ca_pau_101037.wav	realment el ceip no es poden tocar perquè són decrets reials bullir que no es pot tocar però jo crec que de mica en mica ho anirem tocant
upc_ca_ona_100100.wav	el vint-i-vuit ter és una iniciativa una proposició no de llei sobre la necessitat de dotar el municipi de teià a la comarca del maresme d'un institut d'ensenyament secundari és una iniciativa impulsada per tots els grups parlamentar
upc_ca_ona_100056.wav	i amb l'afany de ser breu perquè haig de ser breu la llei l'esborrany que jo he tingut a les mans i amb què i participat en alguna sessió en un àmbit molt concret d'un subsector molt concret per a mi per una figura jurídica és surf
upc_ca_pau_101098.wav	en aquest sentit li haig de dir que el nivell assistencial de la malaltia inflamatòria catalunya en aquests moments és idèntica a la que puguin donar-li el remei al clínic quant a tractaments i quant a un tipus de coses
common_voice_ca_27293083.wav	es troba a l'est de la ciutat de luxemburg
upc_ca_pau_101089.wav	no hi ha concrecions de les mesures sobre les afectacions que en el cas del riu són impressionants i per la canalització que si porta a terme també
common_voice_ca_31132763.wav	la revista va ser fundada per una escriptora i editora maria no canta
common_voice_ca_31277562.wav	eulàlia és natural de solivella
upc_ca_ona_100012.wav	debat i votació de la sol·licitud de compareixença del partit d'iniciativa per catalunya
upc_ca_ona_100021.wav	sí molt bé jo hi parlava amb un pagès del cantó de ripoll doncs que li arriba la llum però esclar a i es va quedar tot el matí sense electricitat
common_voice_ca_19937262.wav	té una entrada lleugerament desplaçada cap a la dreta
upc_ca_pau_101045.wav	sabent poblat amb relació a la resta del territori
upc_ca_pau_101099.wav	llavors arriba uns moments que les dones quan ja no pot més l'hem de deixar de treballar o hem d'agafar arnús que ens facin un acomiadament improcedent però com si fos procedent perquè no podem continuar
upc_ca_pau_101053.wav	el petit comerç ho fa simplement per una raó de preus i per una raó d'estalvi no precisament per una raó que es beneficia o que compra per impuls
upc_ca_pau_101036.wav	digues no miri és un esquizofrènic com podria ser diabètic però no és diabètic és esquizofrènic i punt
common_voice_ca_31085493.wav	que inclou també la fauna
upc_ca_ona_100019.wav	no dubti que si vostè amb pregunta en qualsevol moment sobre l'estat d'aquests dos assumptes judicials en què està personada la generalitat de catalunya jo de tot el que em demani informació i transparència li donaré
upc_ca_pau_101079.wav	ja està ja els hem tornat però no parlem de mercadeig polític ni hem de parlar de mercadeig polític perquè del que estem parlant és de finances públiques i d'ajuts i de temes molt seriosos que seria bo que no se'n feia cap tipus de frivolitat
common_voice_ca_31798275.wav	divendres na nina i na clara aniran a la biblioteca
upc_ca_ona_100050.wav	evidentment si no s'ha fet nosaltres continuem insistint que és necessari que es faci i per tant hem de donar suport a aquesta proposició no de llei però recordant això que estem duplicant un mandat que ja existia de l'any noranta-set
common_voice_ca_31457791.wav	laureà dalmau i pla va ser un metge i escriptor i polític nascut a agullana
common_voice_ca_31246494.wav	divendres hauria d'anar les de cuiro
upc_ca_pau_101020.wav	l'accident de trànsit avui a catalunya és la primera causa de mortalitat de cinc trenta-quatre anys entre els catalans i catalanes
common_voice_ca_31481035.wav	serveix per fer valoracions contrastant el risc de les inversions o la immobilitat de lectiu
upc_ca_pau_101077.wav	b o sigui m'han demanava les xifres aquestes xifres les hi donaré perquè les hem de revisar
upc_ca_ona_100103.wav	aquí se'ns va dir que es faria un pla director d'educació especial i aquest és el tema important el tenim o no alta
upc_ca_ona_100076.wav	el senyor casajuana i pla de llorenç intervé sense fer ús del micròfon
upc_ca_ona_100033.wav	escolti vostè diu que el mapa de recursos no valia o i tant que
common_voice_ca_31241498.wav	vane va guanyar sis de les deu rondes per guanyar la decisió
common_voice_ca_19928548.wav	cada integrat en la baronia episcopal de cabacés del bisbe i capítols de tortosa
upc_ca_pau_101004.wav	el que plantejava l'acompanya marisa fa al moment que s'obrien les quotes amb relació al servei domèstic i no d'altres opcions no tenia res a veure amb el mercat de treball
